trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,touch,hand,1,1430305661,0.4227,5.9227,10,34,10,12,17.922651,17.922651,19.922651,27.922651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,grasp,hand,1,1430305661,-0.4458,5.0542,6,18,27.922651,29.922651,34.976841,34.976841,36.976841,44.976841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,touch,hand,1,1430305661,-0.2845,5.2155,10,34,44.976841,46.976841,52.192356,52.192356,54.192356,62.192356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,grasp,hand,1,1430305661,-0.2809,5.2191,6,18,62.192356,64.192356,69.411472,69.411472,71.411472,79.411472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,grasp,hand,1,1430305661,-0.2875,5.2125,6,18,79.411472,81.411472,86.623933,86.623933,88.623933,96.623933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,touch,hand,1,1430305661,-0.2057,5.2943,10,34,96.623933,98.623933,103.918207,103.918207,105.918207,113.918207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,grasp,hand,1,1430305661,0.3975,5.8975,6,18,113.918207,115.918207,121.815671,121.815671,123.815671,131.815671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,touch,hand,1,1430305661,0.0953,5.5953,10,34,131.815671,133.815671,139.410953,139.410953,141.410953,149.410953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,touch,hand,1,1430305661,0.1904,5.6904,10,34,149.410953,151.410953,157.101325,157.101325,159.101325,167.101325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,touch,hand,1,1430305661,0.3627,5.8627,10,34,167.101325,169.101325,174.963991,174.963991,176.963991,184.963991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,grasp,hand,1,1430305661,0.334,5.834,6,18,184.963991,186.963991,192.797986,192.797986,194.797986,202.797986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,touch,hand,1,1430305661,0.4599,5.9599,10,34,202.797986,204.797986,210.757852,210.757852,212.757852,220.757852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,touch,hand,1,1430305661,-0.3512,5.1488,10,34,220.757852,222.757852,227.906689,227.906689,229.906689,237.906689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,grasp,hand,1,1430305661,-0.2608,5.2392,6,18,237.906689,239.906689,245.145853,245.145853,247.145853,255.145853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,grasp,hand,1,1430305661,0.1085,5.6085,6,18,255.145853,257.145853,262.754387,262.754387,264.754387,272.754387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,touch,hand,1,1430305661,0.4008,5.9008,10,34,272.754387,274.754387,280.65518,280.65518,282.65518,290.65518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,touch,hand,1,1430305661,0.1559,5.6559,10,34,290.65518,292.65518,298.311088,298.311088,300.311088,308.311088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,grasp,hand,1,1430305661,-0.12,5.38,6,18,308.311088,310.311088,315.69106,315.69106,317.69106,325.69106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,grasp,hand,1,1430305661,0.0304,5.5304,6,18,325.69106,327.69106,333.221417,333.221417,335.221417,343.221417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,grasp,hand,1,1430305661,0.2468,5.7468,6,18,343.221417,345.221417,350.96822,350.96822,352.96822,360.96822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
