trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,grasp,hand,1,1338124870,-0.1943,5.3057,11,21,10,12,17.305661,17.305661,19.305661,27.305661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,touch,hand,1,1338124870,0.1908,5.6908,12,22,27.305661,29.305661,34.996442,34.996442,36.996442,44.996442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,touch,hand,1,1338124870,-0.1019,5.3981,12,22,44.996442,46.996442,52.3945,52.3945,54.3945,62.3945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,touch,hand,1,1338124870,0.2323,5.7323,12,22,62.3945,64.3945,70.126752,70.126752,72.126752,80.126752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,grasp,hand,1,1338124870,-0.2177,5.2823,11,21,80.126752,82.126752,87.409053,87.409053,89.409053,97.409053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,grasp,hand,1,1338124870,-0.2867,5.2133,11,21,97.409053,99.409053,104.622396,104.622396,106.622396,114.622396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,touch,hand,1,1338124870,0.2504,5.7504,12,22,114.622396,116.622396,122.372775,122.372775,124.372775,132.372775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,touch,hand,1,1338124870,0.1137,5.6137,12,22,132.372775,134.372775,139.98643,139.98643,141.98643,149.98643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,touch,hand,1,1338124870,-0.2425,5.2575,12,22,149.98643,151.98643,157.243907,157.243907,159.243907,167.243907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,grasp,hand,1,1338124870,0.0015,5.5015,11,21,167.243907,169.243907,174.745434,174.745434,176.745434,184.745434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,grasp,hand,1,1338124870,-0.1886,5.3114,11,21,184.745434,186.745434,192.056842,192.056842,194.056842,202.056842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,touch,hand,1,1338124870,-0.426,5.074,12,22,202.056842,204.056842,209.130877,209.130877,211.130877,219.130877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
