trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,grasp,hand,1,1338143491,0.2503,5.7503,11,21,10,12,17.750284,17.750284,19.750284,27.750284,10.0337471961975,12,12.0000967979431,17.7502839565277,17.7503752708435,19.7505996227264,0,0
2,touch,hand,1,1338143491,-0.4217,5.0783,12,22,27.750284,29.750284,34.828547,34.828547,36.828547,44.828547,27.7680263519287,29.7502839565277,29.7503690719604,34.828547000885,34.8286616802216,36.828644990921,0,0
3,grasp,hand,1,1338143491,-0.1247,5.3753,11,21,44.828547,46.828547,52.20389,52.20389,54.20389,62.20389,44.8358423709869,46.828547000885,46.8286209106445,52.2038900852203,52.2039563655853,54.2039835453033,0,0
4,touch,hand,1,1338143491,-0.1806,5.3194,12,22,62.20389,64.20389,69.523245,69.523245,71.523245,79.523245,62.2205085754395,64.2038900852203,64.2040109634399,69.5232450962067,69.5233104228973,71.5233323574066,0,0
5,grasp,hand,1,1338143491,0.4758,5.9758,11,21,79.523245,81.523245,87.499048,87.499048,89.499048,97.499048,79.5382378101349,81.5232450962067,81.5234911441803,87.4990479946136,87.4992694854736,89.4994688034058,0,0
6,grasp,hand,1,1338143491,-0.4765,5.0235,11,21,97.499048,99.499048,104.522554,104.522554,106.522554,114.522554,97.522757768631,99.4990479946136,99.4990711212158,104.522553920746,104.522597789764,106.522569894791,0,0
7,grasp,hand,1,1338143491,-0.4153,5.0847,11,21,114.522554,116.522554,121.607275,121.607275,123.607275,131.607275,114.540402412415,116.522553920746,116.52259683609,121.607275009155,121.607293367386,123.607292413712,0,0
8,touch,hand,1,1338143491,-0.0482,5.4518,12,22,131.607275,133.607275,139.059039,139.059039,141.059039,149.059039,131.624935626984,133.607275009155,133.607295751572,139.059039115906,139.059078454971,141.059057712555,0,0
9,touch,hand,1,1338143491,0.3516,5.8516,12,22,149.059039,151.059039,156.910596,156.910596,158.910596,166.910596,149.075993537903,151.059039115906,151.059063673019,156.91059589386,156.910633802414,158.91061258316,0,0
10,touch,hand,1,1338143491,0.085,5.585,12,22,166.910596,168.910596,174.49564,174.49564,176.49564,184.49564,166.927097320557,168.91059589386,168.910638093948,174.495640039444,174.495667457581,176.495658159256,0,0
11,grasp,hand,1,1338143491,0.2118,5.7118,11,21,184.49564,186.49564,192.207402,192.207402,194.207402,202.207402,184.511779546738,186.495640039444,186.495675086975,192.207401990891,192.207439899445,194.207417488098,0,0
12,grasp,hand,1,1338143491,0.014,5.514,11,21,202.207402,204.207402,209.721381,209.721381,211.721381,219.721381,202.229198932648,204.207401990891,204.207441568375,209.72138094902,209.721401929855,211.721397638321,0,0
13,touch,hand,1,1338143491,-0.3065,5.1935,12,22,219.721381,221.721381,226.914851,226.914851,228.914851,236.914851,219.730596780777,221.72138094902,221.721413612366,226.914850950241,226.914876699448,228.914867639542,0,0
