trialIndex,condition,effector,runNumber,randomSeed,jitter,planDuration,cueCode,goCode,previewOnset,cueOnset,goOnset,executeOnset,itiOnset,trialEnd,actualPreviewVbl,actualCueDacOnset,actualCueTriggerT,actualGoDacOnset,actualGoTriggerT,actualItiTriggerT,cueSchedErrorMs,goSchedErrorMs
1,touch,tool,2,1338143491,0.2774,5.7774,12,22,10,12,17.777376,17.777376,19.777376,27.777376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,touch,tool,2,1338143491,-0.3299,5.1701,12,22,27.777376,29.777376,34.947444,34.947444,36.947444,44.947444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,grasp,tool,2,1338143491,0.2239,5.7239,11,21,44.947444,46.947444,52.671327,52.671327,54.671327,62.671327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,grasp,tool,2,1338143491,0.0954,5.5954,11,21,62.671327,64.671327,70.266771,70.266771,72.266771,80.266771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,touch,tool,2,1338143491,-0.3948,5.1052,12,22,80.266771,82.266771,87.371939,87.371939,89.371939,97.371939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,touch,tool,2,1338143491,-0.3243,5.1757,12,22,97.371939,99.371939,104.547655,104.547655,106.547655,114.547655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,grasp,tool,2,1338143491,0.4113,5.9113,11,21,114.547655,116.547655,122.458948,122.458948,124.458948,132.458948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,touch,tool,2,1338143491,-0.0697,5.4303,12,22,132.458948,134.458948,139.889277,139.889277,141.889277,149.889277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,grasp,tool,2,1338143491,0.3723,5.8723,11,21,149.889277,151.889277,157.761551,157.761551,159.761551,167.761551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,touch,tool,2,1338143491,-0.2227,5.2773,12,22,167.761551,169.761551,175.038867,175.038867,177.038867,185.038867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,grasp,tool,2,1338143491,-0.247,5.253,11,21,185.038867,187.038867,192.291912,192.291912,194.291912,202.291912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,grasp,tool,2,1338143491,-0.4743,5.0257,11,21,202.291912,204.291912,209.317647,209.317647,211.317647,219.317647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,touch,tool,2,1338143491,0.2649,5.7649,12,22,219.317647,221.317647,227.082524,227.082524,229.082524,237.082524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,grasp,tool,2,1338143491,-0.0924,5.4076,11,21,237.082524,239.082524,244.490127,244.490127,246.490127,254.490127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,touch,tool,2,1338143491,0.1948,5.6948,12,22,254.490127,256.490127,262.184934,262.184934,264.184934,272.184934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,grasp,tool,2,1338143491,0.2257,5.7257,11,21,272.184934,274.184934,279.910618,279.910618,281.910618,289.910618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
